DateKey,TimeKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity
20211021,10000,9.5,10.3,9.8,97.0
20211021,13000,10.0,11.1,10.8,98.0
20211021,20000,12.0,13.1,11.8,92.0
20211021,23000,11.2,13.0,10.7,86.0
20211021,30000,11.9,13.3,10.8,85.0
20211021,33000,11.5,13.0,10.5,85.0
20211021,40000,11.5,12.9,10.8,87.0
20211021,43000,11.1,12.6,10.7,88.0
20211021,50000,11.5,12.8,11.2,90.0
20211021,53000,10.9,13.0,11.1,88.0
20211021,60000,11.0,13.1,11.3,89.0
20211021,63000,11.3,13.0,11.1,88.0
20211021,70000,11.4,13.1,11.2,88.0
20211021,73000,11.2,13.3,11.0,86.0
20211021,80000,12.6,14.5,11.7,83.0
20211021,83000,12.6,15.7,11.5,76.0
20211021,90000,13.7,16.5,11.4,72.0
20211021,93000,14.4,16.8,11.5,71.0
20211021,100000,15.8,18.4,11.9,66.0
20211021,103000,15.3,17.6,11.6,68.0
20211021,110000,16.3,18.5,12.0,66.0
20211021,113000,16.6,19.6,12.4,63.0
20211021,120000,19.7,21.9,13.3,58.0
20211021,123000,17.8,20.8,12.5,59.0
20211021,130000,19.4,22.2,12.7,55.0
20211021,133000,20.5,22.8,13.0,54.0
20211021,140000,20.4,22.9,12.2,51.0
20211021,143000,21.5,23.3,13.2,53.0
20211021,150000,20.6,22.9,13.1,54.0
20211021,153000,20.5,22.2,12.5,54.0
20211021,160000,21.6,23.5,13.1,52.0
20211021,163000,20.7,22.6,13.1,55.0
20211021,170000,20.0,22.1,12.4,54.0
20211021,173000,20.2,21.8,12.9,57.0
20211021,180000,20.1,21.6,13.0,58.0
20211021,183000,20.2,21.3,13.2,60.0
20211021,190000,19.8,20.5,13.2,63.0
20211021,193000,19.0,19.8,12.8,64.0
20211021,200000,18.2,19.0,13.0,68.0
20211021,203000,17.1,17.7,12.2,70.0
20211021,210000,14.0,14.7,11.5,81.0
20211021,213000,14.2,15.2,12.3,83.0
20211021,220000,15.4,15.9,12.5,80.0
20211021,223000,15.3,15.8,12.5,81.0
20211021,230000,15.1,16.0,12.6,80.0
20211021,233000,14.2,15.7,11.9,78.0
20211022,0,13.7,14.6,11.2,80.0
20211022,3000,11.3,12.6,10.0,84.0
20211022,10000,12.0,11.8,10.4,91.0
